TransWeek,LocationNbr,ProductNbr,ClearanceSales,ClearanceUnits,CompSales,CompUnits,PromoSales,PromoUnits,RegularSales,RegularUnits,TotalSales,TotalUnits,CircularSales,CircularUnits,DiscontinuedSales,DiscontinuedUnits,TCPSales,TCPUnits
2014-01-18,2000,212080626,0.0,0,11.94,6,11.94,6,0.0,0,11.94,6,0.0,0,0.0,0,11.94,6
2014-01-18,2000,270020369,0.0,0,20.629999,7,0.0,0,20.629999,7,20.629999,7,0.0,0,0.0,0,0.0,0
2014-01-18,2000,231101130,0.0,0,40.59,7,40.59,7,0.0,0,40.59,7,0.0,0,0.0,0,40.59,7
2014-01-18,2000,270050086,0.0,0,14.82,6,0.0,0,14.82,6,14.82,6,0.0,0,0.0,0,0.0,0
2014-01-18,2000,270000402,0.0,0,5.0799999,4,0.0,0,5.0799999,4,5.0799999,4,0.0,0,0.0,0,0.0,0
2014-01-18,2000,212040261,0.0,0,4.6799998,3,1.3,1,3.3800001,2,4.6799998,3,0.0,0,0.0,0,0.0,0
2014-01-18,2000,245040580,0.0,0,59.099998,11,59.099998,11,0.0,0,59.099998,11,59.099998,11,0.0,0,0.0,0
2014-01-18,2000,245090351,0.0,0,8.54,1,0.0,0,8.54,1,8.54,1,0.0,0,0.0,0,0.0,0
2014-01-18,2000,245040641,0.0,0,7.7800002,2,0.0,0,7.7800002,2,7.7800002,2,0.0,0,0.0,0,0.0,0
2014-01-18,2000,212261874,0.0,0,1.16,1,0.0,0,1.16,1,1.16,1,0.0,0,0.0,0,0.0,0
2014-01-18,2323,212040029,0.0,0,26.98,17,26.98,17,0.0,0,26.98,17,0.0,0,0.0,0,26.98,17
2014-01-18,2430,212340026,0.0,0,1.84,2,0.0,0,1.84,2,1.84,2,0.0,0,0.0,0,0.0,0
2014-01-18,1530,288030106,0.0,0,5.98,2,0.0,0,5.98,2,5.98,2,0.0,0,0.0,0,0.0,0
2014-01-18,1394,245040449,0.0,0,6.9899998,1,6.9899998,1,0.0,0,6.9899998,1,0.0,0,0.0,0,6.9899998,1
2014-01-18,2261,231140046,0.0,0,13.17,3,0.0,0,13.17,3,13.17,3,0.0,0,0.0,0,0.0,0
2014-01-18,949,212180673,0.0,0,7.6500001,4,0.0,0,7.6500001,4,7.6500001,4,0.0,0,0.0,0,0.0,0
2014-01-18,1007,270021318,0.0,0,9.6000004,5,9.6000004,5,0.0,0,9.6000004,5,0.0,0,0.0,0,9.6000004,5
2014-01-18,2328,212260395,0.0,0,6.4000001,4,0.0,0,6.4000001,4,6.4000001,4,0.0,0,0.0,0,0.0,0
2014-01-18,2095,245040204,0.0,0,10.14,2,10.14,2,0.0,0,10.14,2,10.14,2,0.0,0,0.0,0
2014-01-18,1285,212080111,0.0,0,3.7,2,1.71,1,1.99,1,3.7,2,0.0,0,0.0,0,0.0,0
2014-01-18,2289,212280908,0.0,0,8.3400002,2,0.0,0,8.3400002,2,8.3400002,2,0.0,0,0.0,0,0.0,0
2014-01-18,108,288071555,0.0,0,3.8900001,1,0.0,0,3.8900001,1,3.8900001,1,0.0,0,0.0,0,0.0,0
2014-01-18,2456,231150368,0.0,0,8.4799995,4,0.0,0,8.4799995,4,8.4799995,4,0.0,0,0.0,0,0.0,0
2014-01-18,239,270050099,0.0,0,9.7299995,2,9.7299995,2,0.0,0,9.7299995,2,0.0,0,0.0,0,9.7299995,2
2014-01-18,1206,212140139,0.0,0,0.87,1,0.0,0,0.87,1,0.87,1,0.0,0,0.0,0,0.0,0
2014-01-18,2059,270021318,0.0,0,5.48,3,5.48,3,0.0,0,5.48,3,0.0,0,0.0,0,5.48,3
2014-01-18,1769,231100272,0.0,0,12.99,1,0.0,0,12.99,1,12.99,1,0.0,0,0.0,0,0.0,0
2014-01-18,2271,270060077,0.0,0,7.9000001,4,7.9000001,4,0.0,0,7.9000001,4,7.9000001,4,0.0,0,7.9000001,4
2014-01-18,2380,212261000,0.0,0,6.3600001,4,0.0,0,6.3600001,4,6.3600001,4,0.0,0,0.0,0,0.0,0
2014-01-18,2006,212180411,0.0,0,10.8,33,0.0,0,10.8,33,10.8,33,0.0,0,0.0,0,0.0,0
2014-01-18,1867,245050476,0.0,0,8.9899998,1,0.0,0,8.9899998,1,8.9899998,1,0.0,0,0.0,0,0.0,0
2014-01-18,2031,212020278,0.0,0,5.1999998,2,5.1999998,2,0.0,0,5.1999998,2,0.0,0,0.0,0,5.1999998,2
2014-01-18,2730,212020054,0.0,0,5.8299999,2,0.0,0,5.8299999,2,5.8299999,2,0.0,0,0.0,0,0.0,0
2014-01-18,737,284110619,0.0,0,30.440001,12,2.21,1,28.23,11,30.440001,12,0.0,0,0.0,0,0.0,0
2014-01-18,331,212380588,0.0,0,21.6,24,21.6,24,0.0,0,21.6,24,21.6,24,0.0,0,0.0,0
2014-01-18,1423,231150424,0.0,0,6.79,2,0.0,0,6.79,2,6.79,2,0.0,0,0.0,0,0.0,0
2014-01-18,1769,231100924,0.0,0,23.98,2,0.0,0,23.98,2,23.98,2,0.0,0,0.0,0,0.0,0
2014-01-18,823,212180633,0.0,0,7.2399998,5,7.2399998,5,0.0,0,7.2399998,5,0.0,0,0.0,0,7.2399998,5
2014-01-18,1882,231150052,0.0,0,9.5,2,9.5,2,0.0,0,9.5,2,0.0,0,0.0,0,9.5,2
2014-01-18,2584,210010356,0.0,0,25.620001,9,-2.6400001,-1,28.26,10,25.620001,9,-7.5,-3,0.0,0,0.0,0
2014-01-18,945,210050222,0.0,0,5.48,1,5.48,1,0.0,0,5.48,1,0.0,0,0.0,0,0.0,0
2014-01-18,2033,245070395,0.0,0,2.4100001,1,2.4100001,1,0.0,0,2.4100001,1,2.4100001,1,0.0,0,0.0,0
2014-01-18,1153,270100193,0.0,0,15.43,8,1.8,1,13.63,7,15.43,8,0.0,0,0.0,0,0.0,0
2014-01-18,2313,212140915,0.0,0,9.0299997,6,2.52,2,6.5100002,4,9.0299997,6,0.0,0,0.0,0,0.0,0
2014-01-18,1502,284110874,0.0,0,27.23,11,2.0999999,1,25.129999,10,27.23,11,0.0,0,0.0,0,0.0,0
2014-01-18,1191,270110379,0.0,0,30.74,9,0.0,0,30.74,9,30.74,9,0.0,0,0.0,0,0.0,0
2014-01-18,1055,284100758,2.51,1,2.51,1,0.0,0,0.0,0,2.51,1,0.0,0,0.0,0,0.0,0
2014-01-18,230,231150551,0.0,0,16.75,5,0.0,0,16.75,5,16.75,5,0.0,0,0.0,0,0.0,0
2014-01-18,289,284030077,0.0,0,5.3299999,2,0.0,0,5.3299999,2,5.3299999,2,0.0,0,0.0,0,0.0,0
2014-01-18,1819,231101899,0.0,0,32.139999,6,0.0,0,32.139999,6,32.139999,6,0.0,0,0.0,0,0.0,0
2014-01-18,2831,245040243,0.0,0,0.0,0,0.0,0,4.9899998,1,4.9899998,1,0.0,0,0.0,0,0.0,0
2014-01-18,1912,231102175,0.0,0,31.18,5,0.0,0,31.18,5,31.18,5,0.0,0,0.0,0,0.0,0
2014-01-18,1883,231150593,0.0,0,6.8099999,2,0.0,0,6.8099999,2,6.8099999,2,0.0,0,0.0,0,0.0,0
2014-01-18,1045,270020736,0.0,0,5.9899998,1,0.0,0,5.9899998,1,5.9899998,1,0.0,0,0.0,0,0.0,0
2014-01-18,245,212180592,0.0,0,1.4400001,1,1.4400001,1,0.0,0,1.4400001,1,0.0,0,0.0,0,1.4400001,1
2014-01-18,2345,270021288,0.0,0,4.3800001,2,0.0,0,4.3800001,2,4.3800001,2,0.0,0,0.0,0,0.0,0
2014-01-18,1118,212261577,0.0,0,3.4400001,1,0.0,0,3.4400001,1,3.4400001,1,0.0,0,0.0,0,0.0,0
