GEO,Description,Tag,RCategory,WeekEnding,Dollars,Units,BaseDollars,BaseUnits,PACV_FeatAndDisp,PACV_FeatWODisp,PACV_DispWOFeat,PACV_Discount,Dollars_FeatAndDisp,Dollars_Feature,Dollars_Display,Dollars_TPR,Units_FeatAndDisp,Units_Feature,Units_Display,Units_TPR,Units_EQ,BaseUnits_Feature,BaseDollars_Feature,BaseUnits_Display,BaseDollars_Display,BaseUnits_FeatAndDisp,BaseDollars_FeatAndDisp,BaseUnits_TPR,BaseDollars_TPR,EQUnitConversion,BaseUnits_EQ,Units_EQ_Feature,Units_EQ_Display,Units_EQ_FeatAndDisp,Units_EQ_TPR,BaseUnits_EQ_Feature,BaseUnits_EQ_Display,BaseUnits_EQ_FeatAndDisp,BaseUnits_EQ_TPR,Units_AnyPromo,Dollars_AnyPromo,BaseDollars_AnyPromo,BaseUnits_AnyPromo,Units_EQ_AnyPromo,BaseUnits_EQ_AnyPromo,Units_NoPromo,Dollars_NoPromo,BaseDollars_NoPromo,BaseUnits_NoPromo,Units_EQ_NoPromo,BaseUnits_EQ_NoPromo,Units_FeatAndOrDisp,Dollars_FeatAndOrDisp,BaseDollars_FeatAndOrDisp,BaseUnits_FeatAndOrDisp,Units_EQ_FeatAndOrDisp,BaseUnits_EQ_FeatAndOrDisp,ACV
NEW YORK - AOCxp,,NS.247574,DAILY HAIR CARE,1/7/2017,84216,15998,61745,10873,4,30,8,14,4772,40789,4913,5965,924,7557,984,1132,26663,4046,25271,755,3805,312,2057,446,2764,1.666645831,18121.44012,12594.84254,1639.979497,1539.980748,1886.64308,6743.249031,1258.317602,519.9934992,743.3240405,10597,56439,33897,5559,17661.44587,9264.884173,5401,27777,27848,5314,9001.554132,8856.555944,9465,50474,31133,5113,15774.80279,8521.560133,78
NEW YORK - AOCxp,,NS.247574,DAILY HAIR CARE,,82657,15092,71137,12406,0,2,11,32,0,2695,10770,17969,0,430,2054,3422,25154,454,2931,1337,7329,0,0,1409,8867,1.66671084,20677.21468,716.6856613,3423.424066,0,5703.484495,756.6867214,2228.392393,0,2348.395574,5906,31434,19127,3200,9843.594222,5333.474689,9186,51223,52010,9206,15310.40578,15343.73999,2484,13465,10260,1791,4140.109727,2985.079115,78
NEW YORK - AOCxp,,NS.247574,DAILY HAIR CARE,,89570,17114,68682,12067,3,21,9,19,1749,36754,6515,7918,373,7349,1282,1471,28524,4416,26083,936,4941,101,557,561,3737,1.666705621,20112.13673,12248.61961,2136.716606,621.6811967,2451.723969,7360.172023,1560.036461,168.3372677,935.0218535,10475,52936,35318,6014,17458.74138,10023.56761,6639,36634,33364,6053,11065.25862,10088.56912,9004,45018,31581,5453,15007.01741,9088.545752,78
NEW YORK - AOCxp,,,DAILY HAIR CARE,,81646,14891,67265,11946,0,2,14,27,0,5718,11314,11172,0,1046,2142,2242,24819,319,2123,1263,6642,0,0,616,3770,1.666711436,19910.53482,1743.380163,3570.095897,0,3736.76704,531.6809482,2105.056544,0,1026.694245,5430,28204,12535,2198,9050.2431,3663.431737,9461,53442,54730,9748,15768.7569,16247.10308,3188,17032,8765,1582,5313.476059,2636.737492,78
NEW YORK - AOCxp,,,DAILY HAIR CARE,,2026,428,1387,290,0,4,0,7,0,270,0,821,0,61,0,172,438,52,232,0,0,0,0,28,140,1.023364486,296.7757009,62.42523364,0,0,176.0186916,53.21495327,0,0,28.65420561,233,1091,372,80,238.4439252,81.86915888,195,935,1015,210,199.5560748,214.9065421,61,270,232,52,62.42523364,53.21495327,33
NEW YORK - AOCxp,WASH & CARE TRESEMME PREMIUM W&C 9 OZ,,DAILY HAIR CARE,,2179,460,1482,296,0,0,1,7,0,4,212,991,0,1,34,220,452,0,2,34,219,0,0,19,101,0.982608696,290.8521739,0.982608696,33.40869565,0,216.173913,0,33.40869565,0,18.66956522,255,1207,322,53,250.5652174,52.07826087,205,972,1160,243,201.4347826,238.773913,35,216,221,34,34.39130435,33.40869565,33
NEW YORK - AOCxp,WASH & CARE TRESEMME PREMIUM W&C 9 OZ,,DAILY HAIR CARE,,2380,496,1735,337,0,0,0,4,0,0,0,245,0,0,0,67,510,0,0,0,0,0,0,72,352,1.028225806,346.5120968,0,0,0,68.89112903,0,0,0,74.03225806,67,245,352,72,68.89112903,74.03225806,429,2135,1383,265,441.108871,272.4798387,0,0,0,0,0,0,29
NEW YORK - AOCxp,WASH & CARE TRESEMME PREMIUM W&C 9 OZ,,DAILY HAIR CARE,,2750,572,2106,432,0,7,0,2,0,627,0,333,0,132,0,91,605,87,430,22,92,0,0,18,98,1.057692308,456.9230769,139.6153846,0,0,96.25,92.01923077,23.26923077,0,19.03846154,223,960,620,127,235.8653846,134.3269231,349,1790,1486,305,369.1346154,322.5961538,132,627,522,109,139.6153846,115.2884615,29
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR CLEAR MEN SCALP THERAPY 12 OZ,NS.246501,DAILY HAIR CARE,,689,127,472,95,0,0,0,0,0,0,0,42,0,0,0,10,109,0,0,0,0,0,0,0,1,0.858267717,81.53543307,0,0,0,8.582677165,0,0,0,0,10,42,1,0,8.582677165,0,117,647,471,95,100.4173228,81.53543307,0,0,0,0,0,0,5
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR CLEAR MEN SCALP THERAPY 12 OZ,NS.246501,DAILY HAIR CARE,,386,89,296,70,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0.865168539,60.56179775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,386,296,70,77,60.56179775,0,0,0,0,0,0,5
