GEO,UPC,WeekEnding,BaseDollars,BaseDollars_AnyPromo,BaseDollars_Display,BaseDollars_FeatAndDisp,BaseDollars_FeatAndOrDisp,BaseDollars_Feature,BaseDollars_NoPromo,BaseDollars_TPR,BaseUnits,BaseUnits_AnyPromo,BaseUnits_Display,BaseUnits_EQ,BaseUnits_EQ_AnyPromo,BaseUnits_EQ_Display,BaseUnits_EQ_FeatAndDisp,BaseUnits_EQ_FeatAndOrDisp,BaseUnits_EQ_Feature,BaseUnits_EQ_NoPromo,BaseUnits_EQ_TPR,BaseUnits_FeatAndDisp,BaseUnits_FeatAndOrDisp,BaseUnits_Feature,BaseUnits_NoPromo,BaseUnits_TPR,Dollars,Dollars_AnyPromo,Dollars_Display,Dollars_FeatAndDisp,Dollars_FeatAndOrDisp,Dollars_Feature,Dollars_NoPromo,Dollars_TPR,PACV_Discount,PACV_DispWOFeat,PACV_FeatAndDisp,PACV_FeatWODisp,Units,Units_AnyPromo,Units_Display,Units_EQ,Units_EQ_AnyPromo,Units_EQ_Display,Units_EQ_FeatAndDisp,Units_EQ_FeatAndOrDisp,Units_EQ_Feature,Units_EQ_NoPromo,Units_EQ_TPR,Units_FeatAndDisp,Units_FeatAndOrDisp,Units_Feature,Units_NoPromo,Units_TPR,ACV,Max_PeriodEnd
ALB/SFY TOTAL COMPANY census TA,11130120,2017-08-19,3688,1090,0,0,0,0,2598,1090,1665,378,0,55.7096600107933,12.6475984889369,0,0,0,0,43.0620615218564,12.6475984889369,0,0,0,1287,378,4013,1099,0,0,0,0,2914,1099,2,0,0,0,1853,403,0,62,13.4840798704803,0,0,0,0,48.5159201295197,13.4840798704803,0,0,0,1450,403,17,2017-07-29
ALB/SFY TOTAL foo something CENSUS TA,907310204,2014-05-24,284,0,0,0,0,0,284,0,62,0,0,8.1578947368421,0,0,0,0,0,8.1578947368421,0,0,0,0,62,0,200,0,0,0,0,0,200,0,0,0,0,0,38,0,0,5,0,0,0,0,0,5,0,0,0,0,38,0,3,2017-07-29
ALB/SFY foo something new COMPANY CENSUS TA,907310207,2015-11-07,454,0,0,0,0,0,454,0,97,0,0,11.7068965517241,0,0,0,0,0,11.7068965517241,0,0,0,0,97,0,312,0,0,0,0,0,312,0,0,0,0,0,58,0,0,7,0,0,0,0,0,7,0,0,0,0,58,0,3,2017-07-29
ALB/SFY ToTaL COMPANY CENSUS TA,907310213,2016-07-09,125,7,7,0,7,0,118,0,29,1,1,4.02777777777778,0.138888888888889,0.138888888888889,0,0.138888888888889,0,3.88888888888889,0,0,1,0,28,0,192,0,0,0,0,0,192,0,0,0,0,0,36,0,0,5,0,0,0,0,0,5,0,0,0,0,36,0,3,2017-07-29
ALB/SFY TOTAL COMPANY CENSUS TA,907310222,2014-11-01,320,0,0,0,0,0,320,0,59,0,0,6.86046511627907,0,0,0,0,0,6.86046511627907,0,0,0,0,59,0,231,0,0,0,0,0,231,0,0,0,0,0,43,0,0,5,0,0,0,0,0,5,0,0,0,0,43,0,3,2017-07-29
ALB/SFY TOTAL COMPANY CENSUS TA,907310231,2014-11-22,52,0,0,0,0,0,52,0,11,0,0,1.57142857142857,0,0,0,0,0,1.57142857142857,0,0,0,0,11,0,67,0,0,0,0,0,67,0,0,0,0,0,14,0,0,2,0,0,0,0,0,2,0,0,0,0,14,0,0,
ALB/SfY TOTAL COMPANY CENSUS TA,907310296,2016-12-17,246,0,0,0,0,0,246,0,56,0,0,7.39622641509434,0,0,0,0,0,7.39622641509434,0,0,0,0,56,0,281,0,0,0,0,0,281,0,0,0,0,0,53,0,0,7,0,0,0,0,0,7,0,0,0,0,53,0,3,2017-07-29
AlB/SFY TOTAL COMPANY CENSUS TA,953110373,2017-05-20,44,0,0,0,0,0,44,0,3,0,0,2.57142857142857,0,0,0,0,0,2.57142857142857,0,0,0,0,3,0,104,0,0,0,0,0,104,0,0,0,0,0,7,0,0,6,0,0,0,0,0,6,0,0,0,0,7,0,1,2017-07-29
ALB/SFY TOTAL COMPANY CENSUS TA,953110377,2015-12-26,175,0,0,0,0,0,175,0,11,0,0,12.6923076923077,0,0,0,0,0,12.6923076923077,0,0,0,0,11,0,215,0,0,0,0,0,215,0,0,0,0,0,13,0,0,15,0,0,0,0,0,15,0,0,0,0,13,0,2,2017-07-29
ALB/SFY TOTAL COMPANY CENSUS TA,953110394,2016-02-13,2002,0,0,0,0,0,2002,0,85,0,0,191.494252873563,0,0,0,0,0,191.494252873563,0,0,0,0,85,0,2031,0,0,0,0,0,2031,0,0,0,0,0,87,0,0,196,0,0,0,0,0,196,0,0,0,0,87,0,13,2017-07-29
