Full Item Description,DPCI,UPC,GENDER,Brand,Form,Price Tier
049-01-0002 AXE 2.7oz P Rod Invisible Solid,49010002,7940041051,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0003 AXE 4OZ P Rod Body Spray,49010003,7940041291,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0004 RIGHT GUARD TOTAL DEFENSE 5 4OZ FRE,49010004,1700008236,MEN'S,RIGHT GUARD,GEL,PREMIUM
049-01-0004 Right Guard XTREME DEFENSE 5 Fresh,49010004,1700008236,MEN'S,RIGHT GUARD,GEL,PREMIUM
049-01-0005 AXE 3oz P Rod Deodorant,49010005,7940041053,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0007 RIGHT GUARD  2.6OZ FRESH ENERGY SOL,49010007,1700033333,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0007 RIGHT GUARD XTREME FRESH 2.6OZ FRES,49010007,1700033333,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0008 SECRET SE 5.4oz CG Coco Butter Kiss,49010008,3700058608,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0009 OLD SPICE RZ 5.2OZ SD Swagger Twin,49010009,1204402172,MEN'S,OLD SPICE,SOFT SOLID,PREMIUM
049-01-0012 SECRET       SE 5.4Z CG PASTANG TWN,49010012,3700057883,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0012 SECRET SE 5.2oz CG Pasion de Tang T,49010012,3700057883,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0015 SECRET       6Z OL CG PP TWIN,49010015,3700057468,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0015 Secret OL 5.2z CG Protecting Powder,49010015,3700057468,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0017 RIGHT GUARD XTREME FRESH 2.6OZ FRES,49010017,1700010697,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0019 SECRET       SE 5.4OZ CG SVS TWN,49010019,3700057464,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0019 SECRET SE 5.2oz CG Summerberry Twin,49010019,3700057464,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0022 SPEEDSTICK   A/P FRESH SCENT,49010022,,MEN'S,SPEEDSTICK,STICKS/SOLID,
049-01-0023 DEGREE 2.7OZ TWIN ARCTIC EDGE,49010023,7940024407,MEN'S,DEGREE,STICKS/SOLID,BASE
049-01-0026 SURE 2.6OZ Regular Scent Invisible,49010026,88348471772,WOMEN'S,SURE,STICKS/SOLID,BASE
049-01-0027 SURE 2.6OZ Unscented Invisible Soli,49010027,88348471717,WOMEN'S,SURE,STICKS/SOLID,BASE
049-01-0028 AXE 3oz Gold Temptation Deodorant,49010028,7940037839,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0029 DEGREE       2-2.7OZ TWIN SPORT,49010029,7940008633,MEN'S,DEGREE,STICKS/SOLID,BASE
049-01-0030 BAN SOLID    2.6OZ ISLAND FRESH,49010030,1904512952,WOMEN'S,BAN,STICKS/SOLID,BASE
049-01-0032 AXE 2.7oz Gold Temptation Invisible,49010032,7940037836,MEN'S,AXE,STICKS/SOLID,PREMIUM
