ProductNbr,ProductName,SEGMENT,BRAND,FAMILY SEGMENT,FORM,PRICE TIER,SIZE,TYPE
288071098,1.5qt Deans Greek Frozen Yogurt - ,PACKAGED ICE CREAM,DEANS,NA,NA,PREMIUM,QUART,FROZEN YOGURT
288070282,ADONIA       14 OZ GREEK BLUEBERRY ,PACKAGED ICE CREAM,ADONIA,NA,NA,SUPER PREMIUM,PINT,FROZEN YOGURT
288072257,AF 16OZ SORBETTO APPLE RASPBERRY,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,SORBET
288072258,AF 30oz Caramel Biscotti Gelato,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,GELATO
288072259,AF 30oz Spiced Berry Crumble Gelato,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,GELATO
288070361,AF GELATO CH HZLNT SWL 30 OZ.,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070348,AF GELATO CHERRY 30OZ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070347,AF GELATO COCONUT 30OZ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070359,AF GELATO CREME CAKE 30 OZ.,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070346,AF GELATO DULCE DE LECHE 30OZ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070358,AF GELATO LEMON MRNGUE 30 OZ.,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070345,AF GELATO PISTACHIO 30OZ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070344,AF GELATO TIRAMISU 30OZ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070349,AF GELATO TRIP CHOC 30OZ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072963,AF ICE CREAM 48OZ BELGIAN CHOC     ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072097,AF ICE CREAM 48OZ ESPRESSO CHIP    ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072962,AF ICE CREAM 48OZ MADGASCAR VAN    ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072967,AF ICE CREAM 48OZ MNT CHOC CHP     ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072969,AF ICE CREAM 48OZ OVRLD CHOCOLATE  ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288070362,AF SORBETTO BLD OR MIM 16 OZ.,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,SORBET
288070364,AF SORBETTO CRAN LIME 16 OZ.,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,SORBET
288070363,AF SORBETTO STRWBRY LEM 16 OZ.,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,SORBET
288070054,Amy's Chocolate non-dairy ice cream,PACKAGED ICE CREAM,AMYS,NA,NA,SUPER PREMIUM,QUART,NON DAIRY
288070056,Amy's Mint Chocolate non-dairy dess,PACKAGED ICE CREAM,AMYS,NA,NA,SUPER PREMIUM,QUART,NON DAIRY
288070055,Amy's Mocha Chocolate non dairy ice,PACKAGED ICE CREAM,AMYS,NA,NA,SUPER PREMIUM,QUART,NON DAIRY
288070053,Amy's Vanilla non-dairy ice cream 1,PACKAGED ICE CREAM,AMYS,NA,NA,SUPER PREMIUM,QUART,NON DAIRY
288072334,Archer Farms Amaretto Cherry Gelato,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,GELATO
288072315,Archer Farms Banana Almond Caramel,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072307,Archer Farms Belgian Chocolate Chun,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288074172,Archer Farms Blueberries and Cream ,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072313,Archer Farms Caramel Fudge Brownie,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072310,Archer Farms Chocolate Peanut Butte,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072311,Archer Farms Coffee Toffee Crunch I,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072309,Archer Farms Cookie Dough and Brown,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
288072312,Archer Farms German Chocolate Cake,PACKAGED ICE CREAM,ARCHER FARMS,NA,NA,SUPER PREMIUM,PINT,ICE CREAM
