ProductNbr,UPC,DeptID,ClassID,ItemID,ProductName,RetailerBrand,RetailerBPMGroupBrand,RetailerSubClass,RetailerStyle,RetailerMDSECategory
288070272,75243201385,288,7,272,MAYFIELD 1.5QT BANANA SPLIT,MAYFIELD,ICE CREAM,ACQ32 MAYF TUB 1/2G,ICE CREAM,
288070471,74570877041,288,7,471,HD Tangerine Cream Shortbread Desti,Haagen-Dazs,SUPER PREMIUM,HGD14 HAAGEN DAZ 14OZ,ICE CREAM,
288070493,41191238025,288,7,493,MEADOW GOLD 48OZ CC CHOCOLATE,MEADOW GOLD,ICE CREAM,ACQ36 MEAD BOX 1/2G,ICE CREAM,
288070524,70640011605,288,7,524,BLUE BUNNY 4QT CHOC/VANILLA,BLUE BUNNY,ICE CREAM,ACN81 BBUN PAIL 5QT,ICE CREAM,
288070593,186852000860,288,7,593,Talenti 16oz Caramel Apple Pie Gela,TALENTI,GELATO & SORBETTO,TLNTI TALENTI GELATO,0,
288070677,,288,7,677,BLUE BELL 1QT SHERBET,BLUE BELL,ICE CREAM,ACN75 BBEL TUB QRT,ICE CREAM,
288070934,,288,7,934,HAAGEN DAZS  14OZ MINT CHIP ICE CRM,,,,,
288071506,41900060473,288,7,1506,Deans 48oz Brown Cow Ice Cream,DEAN FOODS,ICE CREAM,DNSIC DEANS ICE CREAM,ICE CREAM,
288071757,0,288,7,1757,BLUE BELL 12PK CHOC/VNLA CUPS,BLUE BELL,NOVELTIES,ACN97 BBEL BAG 12CT,ICE CREAM,
288072014,,288,7,2014,HD ICE CREAM HD VAN CARM CN 5 CT,,,,,
288072611,0,288,7,2611,MP NOVELTIES 12CT FUDGE BAR,MARKET PANTRY,NOVELTIES,ADG75 MP BX 12CT,ICE CREAM,
288073094,492880730946,288,7,3094,MP ICE CREAM 48-OZ NATURAL VANILLA,MARKET PANTRY,ICE CREAM,AAR02 MP NEW PACKAGING,ICE CREAM,
288073340,,288,7,3340,HAAGEN DAZS  3.6 OZ MANGO CUPS,,,,,
288073496,75856074055,288,7,3496,Klondike Chocolate Taco Ice Cream 4,KLONDIKE,NOVELTIES,KLOND KLONDIKE NOVELTIES,ICE CREAM,
288073502,0,288,7,3502,MAGNUM DOUBLE CARAMEL 3PK,Magnum,NOVELTIES,MAGNM MAGNUM NOVELTIES,ICE CREAM,
288070157,76840100569,288,7,157,BEN JERRYS 16OZ CHCLTE FUDGE YGRT,BEN & JERRYS,SUPER PREMIUM,BJPNT BEN & JERRYS 1PT,ICE CREAM,
288070408,,288,7,408,Turkey Hill Double Dunker 48 oz,,,,,
288070996,41483040824,288,7,996,Kemps Cookies & Cream Frozen Yogurt,KEMPS,FROZEN YOGURT,KEMPF KEMPS FROYO,0,
288071714,77567327437,288,7,1714,Breyers 28.5oz Gelato Triple Chocol,Breyer's Ice Cream,GELATO & SORBETTO,BREYE BREYERS GELATO,0,
288073520,,288,7,3520,DREYERS EDYS 1.5QT CHC PNT BTR,EDY'S,ICE CREAM,EDYS1 EDYS/DREYERS,FROZEN DAIRY DESSERT,
288073532,,288,7,3532,D E I CREAM  D/E CARML DEL SC5.8OZ,EDY'S,SINGLE SERVE,EDYSS EDY SINGLE SERVE,FROZEN DAIRY DESSERT,
288070017,,288,7,17,Kemps Cinnamon Frozen Yogurt 1.5qt,KEMPS,ICE CREAM,KMPIC KEMPS 48OZ IC,ICE CREAM,
288070784,0,288,7,784,BREYERS 1.5QT VAN/CHOC/STRW,Breyer's Ice Cream,ICE CREAM,BREYR BREYERS ICE CREAM,ICE CREAM,
288070880,47677391284,288,7,880,DOVE 3PK VAN MLK CHOC BAR,Dove Chocolate,NOVELTIES,ACP43 DOVE BOX 3CT,ICE CREAM,
288072025,0,288,7,2025,DREYERS EDYS 48OZ  DBL FDG BRWN,DREYER'S,ICE CREAM,ACP04 DREY TUB 1/2G,ICE CREAM,
288072194,29839006052,288,7,2194,FRIENDLYS 48OZ BANANA SPLIT,Friendly's,ICE CREAM,FRN48 FRIENDLY'S 48OZ,ICE CREAM,
288072319,85239723197,288,7,2319,Simply Balanced Vanilla Bean Ice Cr,Simply Balanced,SUPER PREMIUM,ADH33 SIMPLY BALANCED,0,
288073072,,288,7,3072,Haagen Dazs 3.6oz Artisan Tres Lech,Haagen-Dazs,SINGLE SERVE,HGDZ4 HAAGEN DAZS 4OZ,ICE CREAM,
288073419,,288,7,3419,POPSICLE 18PK AIRHEADS,POPSICLE,NOVELTIES,POPSC POPSICLE,ICE CREAM,
288070180,492880701809,288,7,180,Market Pantry Ice Cream Candy Bar 6,Market Pantry,NOVELTIES,ABP97 NV BBY LC VAN,ICE CREAM BAR,
288070640,851916003049,288,7,640,Coolhaus Dirty Mint Chip Pint,Coolhaus,SUPER PREMIUM,JENIS JENIS,0,
288070737,,288,7,737,SKINNY FROZE 5CT COOKIE DOUGH,Skinny Cow,NOVELTIES,SKYCW SKINNY COW NOVELTI,FROZEN DAIRY DESSERT,
