TransWeek,LocationNbr,ProductNbr,ClearanceSales,ClearanceUnits,CompSales,CompUnits,PromoSales,PromoUnits,RegularSales,RegularUnits,TotalSales,TotalUnits,CircularSales,CircularUnits,DiscontinuedSales,DiscontinuedUnits,TCPSales,TCPUnits
01/18/2014,2831,245040243,0.0,0,0.0,0,0.0,0,4.9899998,1,4.9899998,1,0.0,0,0.0,0,0.0,0
01/18/2014,1285,212080111,0.0,0,3.7,2,1.71,1,1.99,1,3.7,2,0.0,0,0.0,0,0.0,0
01/18/2014,217,231140427,8.7299995,3,8.7299995,3,0.0,0,0.0,0,8.7299995,3,0.0,0,0.0,0,0.0,0
01/18/2014,2328,212260395,0.0,0,6.4000001,4,0.0,0,6.4000001,4,6.4000001,4,0.0,0,0.0,0,0.0,0
01/18/2014,353,245050368,0.0,0,39.48,4,39.48,4,0.0,0,39.48,4,39.48,4,0.0,0,0.0,0
01/18/2014,968,212080230,0.0,0,9.3999996,3,0.0,0,9.3999996,3,9.3999996,3,0.0,0,0.0,0,0.0,0
01/18/2014,239,270050099,0.0,0,9.7299995,2,9.7299995,2,0.0,0,9.7299995,2,0.0,0,0.0,0,9.7299995,2
01/18/2014,331,212380588,0.0,0,21.6,24,21.6,24,0.0,0,21.6,24,21.6,24,0.0,0,0.0,0
01/18/2014,2178,212060110,0.0,0,2.27,1,0.0,0,2.27,1,2.27,1,0.0,0,0.0,0,0.0,0
01/18/2014,2048,212180130,0.0,0,5.9699998,3,5.9699998,3,0.0,0,5.9699998,3,0.0,0,0.0,0,5.9699998,3
01/18/2014,1056,212140895,0.0,0,7.5900002,3,7.5900002,3,0.0,0,7.5900002,3,0.0,0,0.0,0,7.5900002,3
01/18/2014,2271,270060077,0.0,0,7.9000001,4,7.9000001,4,0.0,0,7.9000001,4,7.9000001,4,0.0,0,7.9000001,4
01/18/2014,677,231101400,0.0,0,33.139999,4,0.0,0,33.139999,4,33.139999,4,0.0,0,0.0,0,0.0,0
01/18/2014,1087,284101334,22.469999,27,22.469999,27,0.0,0,0.0,0,22.469999,27,0.0,0,0.0,0,0.0,0
01/18/2014,1211,270050051,0.0,0,24.870001,13,24.870001,13,0.0,0,24.870001,13,0.0,0,0.0,0,24.870001,13
01/18/2014,2430,212340026,0.0,0,1.84,2,0.0,0,1.84,2,1.84,2,0.0,0,0.0,0,0.0,0
01/18/2014,945,210050222,0.0,0,5.48,1,5.48,1,0.0,0,5.48,1,0.0,0,0.0,0,0.0,0
01/18/2014,1882,231150052,0.0,0,9.5,2,9.5,2,0.0,0,9.5,2,0.0,0,0.0,0,9.5,2
01/18/2014,108,288071555,0.0,0,3.8900001,1,0.0,0,3.8900001,1,3.8900001,1,0.0,0,0.0,0,0.0,0
01/18/2014,1912,231102175,0.0,0,31.18,5,0.0,0,31.18,5,31.18,5,0.0,0,0.0,0,0.0,0
01/18/2014,2124,212020045,0.0,0,242.7,62,0.0,0,242.7,62,242.7,62,0.0,0,0.0,0,0.0,0
01/18/2014,1502,284110874,0.0,0,27.23,11,2.0999999,1,25.129999,10,27.23,11,0.0,0,0.0,0,0.0,0
01/18/2014,1955,231030507,0.0,0,8.9700003,3,0.0,0,8.9700003,3,8.9700003,3,0.0,0,0.0,0,0.0,0
01/18/2014,779,245070538,0.0,0,25.17,3,0.0,0,25.17,3,25.17,3,0.0,0,0.0,0,0.0,0
01/18/2014,1121,245070517,0.0,0,5.4899998,1,0.0,0,5.4899998,1,5.4899998,1,0.0,0,0.0,0,0.0,0
01/18/2014,2079,284101108,0.0,0,27.709999,14,27.709999,14,0.0,0,27.709999,14,27.709999,14,0.0,0,0.0,0
01/18/2014,289,284030077,0.0,0,5.3299999,2,0.0,0,5.3299999,2,5.3299999,2,0.0,0,0.0,0,0.0,0
01/18/2014,64,212040261,0.0,0,10.03,6,1.33,1,8.6999998,5,10.03,6,0.0,0,0.0,0,0.0,0
01/18/2014,1380,231160063,0.0,0,4.4899998,1,0.0,0,4.4899998,1,4.4899998,1,0.0,0,0.0,0,0.0,0
01/18/2014,737,284110619,0.0,0,30.440001,12,2.21,1,28.23,11,30.440001,12,0.0,0,0.0,0,0.0,0
